Muestra	Positivas
155 1
219 6
250 7
318 9
346 11
714 17
905 22
1232 38
1545 43
1822 71
2315 86
2797 117
3075 145
3841 234
4298 263
5185 315
6184 363
6664 395
7013 416
8040 480
9219 580
10065 635
10896 671
12669 852
13452 950
14463 1065
15587 1323
16518 1414
17334 1595
17841 1746
19410 2281
20414 2561
21555 2954
39599 4342
48465 5256
56681 5897
65712 6848
76506 7519
87116 9784
102216 10303
109385 11475
121468 12491
127513 13489
135895 14420
143745 15628
148011 16325
155724 17837
170400 19250
185238 20914
198349 21648
218195 25331
232747 27517
239563 28699
267612 31190
296262 33931
318252 36976
342498 40459
355604 42534
375096 45928
385492 47372
406579 51189
429458 54817
448020 58526
473190 61847
494250 65015
504930 67307
512869 68822
532169 72059
553302 76306
587292 80604
605383 84495
630482 88541
650613 92273
661132 94933
679582 99483
715423 104020
736500 108769
750526 111698
788341 115754
820967 119959
840922 123979
875721 129751
905278 135905
928797 141779
963617 148285
1012708 155671
1058874 164476
1076659 170039
1092646 174888
1115615 178914
1135831 183198
1154468 187400
1173003 191758
1191956 196515
1203985 199696
1227691 203736
1255756 208823
1282478 214788
1315417 220749
1338477 225132
1360839 229736
1376478 232992
1396605 237156
1417911 240908
1439767 244388
1461266 247925
1482563 251338
1504209 254936
1517930 257447
1539746 260810
1561653 264689
1583605 268602
1604521 272364
1625135 275989
1645112 279419
1661324 282365
1679386 285213
1699369 288477
1720261 292004
1740969 295599
1761910 299080
1782846 302718
1800690 305703
1821328 309278
1842316 312911
1863278 316448
1883326 319646
1904242 322710
1925231 326326
1943679 330123
1963291 333867
1983932 337724
2003963 341586
2023996 345537
2042218 349500
2063240 353590
2084311 357681
2109202 362087
2133775 366550
2158770 371096
2183763 375961
2206105 379884
2230247 384797
2250256 389717
2270717 395005
2293612 400683
2318254 407492
2348396 414735
2377948 422183
2404046 428850
2417857 433100
2440184 439890
2466745 447624
2493429 455409
2522993 463875
2548439 471012
2573691 478024
2590078 483133
