Pruebas	Positivos
155	1
219	6
250	7
318	*
346	11
714	17
905	22
1232	38
1545	43
1822	71
2315	*
2797	117
3075	145
3841	234
4298	263
5185	315
6184	363
6664	395
7013	416
8040	480
9219	580
10065	635
10896	671
12669	852
13452	950
14463	1065
15587	1323
16518	1414
17334	1595
17841	1746
19410	2281
20414	2561
21555	2954
39599	4342
48465	5256
56681	5897
65712	6848
76506	7519
87116	9784
102216	10303
109385	11475
121468	12491
127513	13489
135895	14420
143745	15628
148011	16325
155724	17837
170400	19250
185238	20914
198349	21648
218195	25331
232747	27517
239563	28699
267612	31190
296262	33931
318252	36976
342498	40459
355604	42534
375096	45928
385492	47372
406579	51189
429458	54817
448020	58526
473190	61847
494250	65015
504930	67307
512869	68822
532169	72059
553302	76306
587292	80604
605383	84495
630482	88541
650613	92273
661132	94933
679582	99483
715423	104020
736500	108769
750526	111698
788341	115754
820967	119959
840922	123979
875721	129751
905278	135905
928797	141779
963617	148285
1012708	155671
1058874	164476
1076659	170039
1092646	174888
1115615	178914
1135831	183198
1154468	187400
1173003	191758
1191956	196515
1203985	199696
1227691	203736
1255756	208823
1282478	214788
1315417	220749
1338477	225132
1360839	229736
1376478	232992
1396605	237156
1417911	240908
1439767	244388
1461266	247925
1482563	251338
1504209	254936
1517930	257447
1539746	260810
1561653	264689
1583605	268602
1604521	272364
1625135	275989
1645112	279419
1661324	282365
1679386	285213
1699369	288477
1720261	292004
1740969	295599
1761910	299080
1782846	302718
1800690	305703
1821328	309278
1842316	312911
1863278	316448
1883326	319646
1904242	322710
1925231	326326
1943679	330123
1963291	333867
1983932	337724
2003963	341586
2023996	345537
2042218	349500
2063240	353590
2084311	357681
2109202	362087
2133775	366550
2158770	371096
2183763	375961
2206105	379884
2230247	384797
2250256	389717
2270717	395005
2293612	400683
2318254	407492
2348396	414735
2377948	422183
2404046	428850
2417857	433100
2440184	439890
2466745	447624
2493429	455409
2522993	463875
2548439	471012
2573691	478024
2590078	483133
2612599	489680
2643464	498555
2677014	507996
2705122	516296
2738229	525803
2773412	535946
2793614	541493
2818843	549321
2852011	558420
2883862	567059
2915372	576067
2950589	585236
2985782	594326
3006993	600438
3032744	607382
3055850	613378
3089459	621997
3124076	629961
3156679	639435
3191850	647166
3215842	652037
3233034	657129
3256711	663437
3286526	670145
3320012	676848
3353435	683702
3379580	689977
3386625	691575
3403397	696190
3428910	702776
3457205	710067
3482894	716670
3509997	722832
3534937	729619
3552710	733860
3567927	738020
3592221	744400
3614738	750098
3640863	756412
3667968	762865
3693813	768895
3710694	772896
3724872	776546
3751583	782695
3778648	788930
3804340	794584
3827824	800142
3850122	805302
3865360	808714
3878323	811768
3892353	814829
3908125	818297
3922567	821564
3939873	824985
3952298	828169
3961345	829999
3975007	832929
3988070	835662
4003363	838614
4027591	843355
4050681	846088
4077357	849371
4092566	851171
4111951	853974
4135223	856951
4158359	859740
4181976	862417
4206371	865549
4230353	868675
4249458	870876
4270800	874118
4293748	876885
4316879	879876
4343547	883116
4367969	886214
4390402	888715
4407293	890574
4427751	892497
4449985	894928
4473483	897594
4489872	900180
4517584	902503
4537540	904911
4551185	906545
4568349	908902
4591407	911787
4611380	914722
4635248	917503
4655418	920010
4674263	922333
4684817	923527
4700489	925431
4721179	928006
4740666	930237
4761540	932650
4784978	934899
4802591	937011
4815828	938268
4831147	939931
4852474	941951
4874713	943917
4896839	946087
4916164	948081
4935037	949670
4945165	950557
4961493	952439
4982778	954459
4999956	956347
5019608	958324
5039956	960368
5059179	962530
5069698	963605
5085775	965228
5103401	967075
5119245	968846
5136390	970860
5154919	972688
5167466	973912
5179331	975116
5195499	976621
5204299	977312
5217086	979111
5232485	980943
5248832	983045
5264455	984973
5273241	986130
5284292	987675
5301184	989457
5318292	991518
5345801	993760
5361432	995899
5374886	997517
5383267	998475
5397861	1000153
5416226	1002263
5433168	1003982
5446927	1005546
5453091	1006318
5463577	1007657
5473555	1008908
5486007	1010496
5502884	1012614
5522513	1015137
5537730	1017199
5543366	1018099
5555591	1019475
5567797	1021058
5581668	1022018
5622260	1024432
5653472	1026690
5683233	1029471
5723319	1032275
5757541	1035184
5784548	1037350
5817528	1040231
5742300	1043640
5767641	1048662
5815670	1056023
5844283	1060567
5876017	1064909
5901809	1068802
5928005	1073214
5958860	1078675
5989114	1082907
6028030	1088096
6060702	1093938
6093440	1099013
6113359	1102795
6142221	1107239
6176497	1113970
6213099	1119685
6250392	1125875
6300181	1133022
6333674	1138239
6354240	1142716
6395019	1149764
6440564	1158337
6491121	1165052
6533783	1173045
6581216	1180478
6608063	1186698
6636133	1191221
