Fecha	Pruebas	Positivos
6-Mar	155	1
7-Mar	219	6
8-Mar	250	7
9-Mar	318	9
10-Mar	346	11
11-Mar	714	17
12-Mar	905	22
13-Mar	1232	38
14-Mar	1545	43
15-Mar	1822	71
16-Mar	2315	86
17-Mar	2797	117
18-Mar	3075	145
19-Mar	3841	234
20-Mar	4298	263
21-Mar	5185	315
22-Mar	6184	363
23-Mar	6664	395
24-Mar	7013	416
25-Mar	8040	480
26-Mar	9219	580
27-Mar	10065	635
28-Mar	10896	671
29-Mar	12669	852
30-Mar	13452	950
31-Mar	14463	1065
1-Abr	15587	1323
2-Abr	16518	1414
3-Abr	17334	1595
4-Abr	17841	1746
5-Abr	19410	2281
6-Abr	20414	2561
7-Abr	21555	2954
8-Abr	39599	4342
9-Abr	48465	5256
10-Abr	56681	5897
11-Abr	65712	6848
12-Abr	76506	7519
13-Abr	87116	9784
14-Abr	102216	10303
15-Abr	109385	11475
16-Abr	121468	12491
17-Abr	127513	13489
18-Abr	135895	14420
19-Abr	143745	15628
20-Abr	148011	16325
21-Abr	155724	17837
22-Abr	170400	19250
23-Abr	185238	20914
24-Abr	198349	21648
25-Abr	218195	25331
26-Abr	232747	27517
27-Abr	239563	28699
28-Abr	267612	31190
29-Abr	296262	33931
30-Abr	318252	36976
1-May	342498	40459
2-May	355604	42534
3-May	375096	45928
4-May	385492	47372
5-May	406579	51189
6-May	429458	54817
7-May	448020	58526
8-May	473190	61847
9-May	494250	65015
10-May	504930	67307
11-May	512869	68822
12-May	532169	72059
13-May	553302	76306
14-May	587292	80604
15-May	605383	84495
16-May	630482	88541
17-May	650613	92273
18-May	661132	94933
19-May	679582	99483
20-May	715423	104020
21-May	736500	108769
22-May	750526	111698
23-May	788341	115754
24-May	820967	119959
25-May	840922	123979
26-May	875721	129751
27-May	905278	135905
28-May	928797	141779
29-May	963617	148285
30-May	1012708	155671
31-May	1058874	164476
1-Jun	1076659	170039
2-Jun	1092646	174888
3-Jun	1115615	178914
4-Jun	1135831	183198
5-Jun	1154468	187400
6-Jun	1173003	191758
7-Jun	1191956	196515
