Pais;Región;PCR   (+);PRUEBA RÁPIDA (+);PRUEBA ANTIGENO(+);TOTAL CASOS (+);FALLECIDOS
PERÚ;LIMA METROPOLITANA;206585;277989;17177;501751;16862
PERÚ;CALLAO;15499;33696;1865;51060;2226
PERÚ;LA LIBERTAD;6750;33798;826;41374;2683
PERÚ;AREQUIPA;10987;43235;1395;55617;1844
PERÚ;MOQUEGUA;1524;16655;380;18559;430
PERÚ;CUSCO;8936;20401;1237;30574;639
PERÚ;LAMBAYEQUE;6334;29782;312;36428;2071
PERÚ;PIURA;3629;42337;1375;47341;2339
PERÚ;AMAZONAS;2535;17228;307;20070;292
PERÚ;ICA;5855;29452;2215;37522;2026
PERÚ;JUNIN;5932;30206;1335;37473;1256
PERÚ;ANCASH;9694;25431;3923;39048;1734
PERÚ;CAJAMARCA;5970;23293;460;29723;716
PERÚ;HUANUCO;3107;19589;1271;23967;673
PERÚ;APURIMAC;3068;6583;493;10144;225
PERÚ;PUNO;2564;18996;324;21884;501
PERÚ;TACNA;2826;14361;655;17842;458
PERÚ;LORETO;3766;23666;506;27938;1071
PERÚ;SAN MARTIN;4561;23460;171;28192;844
PERÚ;AYACUCHO;3599;13232;687;17518;438
PERÚ;HUANCAVELICA;1393;7136;282;8811;189
PERÚ;PASCO;591;7432;408;8431;197
PERÚ;TUMBES;1722;8692;237;10651;405
PERÚ;UCAYALI;1368;20247;241;21856;452
PERÚ;MADRE DE DIOS;969;8854;14;9837;168
PERÚ;LIMA REGIÓN;8823;27170;1617;37610;1728
