CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION
091|UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.|PRIVADO|LICENCIA DENEGADA|0|PUNO|PUNO|PUNO|-15.8395008|-70.0295166
016|UNIVERSIDAD NACIONAL DE CAJAMARCA|PÚBLICO|LICENCIA OTORGADA|6|CAJAMARCA|CAJAMARCA|CAJAMARCA|-7.167193596|-78.49652308
067|UNIVERSIDAD CONTINENTAL S.A.C.|PRIVADO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|HUANCAYO|-12.04773072|-75.19874451
118|UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|ATE|-12.0211306|-76.9037173
104|UNIVERSIDAD LE CORDON BLEU S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|MAGDALENA DEL MAR|-12.0985893|-77.05636
037|UNIVERSIDAD PERUANA LOS ANDES|PRIVADO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|HUANCAYO|-12.0400383|-75.1924434
064|UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|CHORRILLOS|-12.19647398|-77.0055825
006|UNIVERSIDAD NACIONAL DE INGENIERÍA|PÚBLICO|LICENCIA OTORGADA|10|LIMA|LIMA|RÍMAC|-12.02373883|-77.04837621
038|UNIVERSIDAD PERUANA UNIÓN|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LURIGANCHO|-11.989087|-76.839662
109|UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|SAN BORJA|-12.1108862|-76.9912619
018|UNIVERSIDAD DE LIMA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.0839637|-76.97064472
005|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|PÚBLICO|LICENCIA OTORGADA|10|AREQUIPA|AREQUIPA|AREQUIPA|-16.403293|-71.52488856
