CONGLOME	VIVIENDA	HOGAR	CODPERSO	UBIGEO	P300A	P301A
17837	10	11	1	150107	4	3
17837	10	11	2	150107	4	6
17837	42	11	1	150107	4	9
17837	42	11	2	150107	4	9
17837	55	11	1	150107	4	10
17837	55	11	2	150107	4	6
17837	55	11	3	150107	4	10
17837	55	11	4	150107	4	10
17837	55	11	5	150107	4	6
17837	55	11	6	150107	4	5
17837	55	11	7	150107	4	3
17837	66	11	1	150107	4	10
17837	66	11	2	150107	4	10
17837	66	11	3	150107	4	5
17837	118	11	1	150107	4	10
17837	118	11	2	150107	4	8
17837	118	11	3	150107	4	9
17837	118	11	4	150107	4	5
17864	12	11	1	150103	99	99
17864	12	11	2	150103	4	9
17864	12	11	3	150103	4	5
17864	12	11	4	150103	4	4
17864	35	11	1	150103	4	8
17864	35	11	2	150103	4	8
17864	35	11	3	150103	4	8
17864	120	11	1	150103	4	5
17864	120	11	2	150103	4	6
17864	120	11	3	150103	4	10
17864	120	11	4	150103	4	10
17864	185	11	1	150103	4	6
17864	185	11	2	150103	99	99
17864	205	11	1	150103	4	10
17864	205	11	2	150103	4	5
17864	205	11	3	150103	4	8
17911	24	11	1	150103	4	7
17911	24	11	2	150103	4	6
17911	24	11	3	150103	4	6
17911	24	11	4	150103	4	5
17911	24	11	5	150103	4	6
17911	53	11	1	150103	4	7
17911	53	11	2	150103	4	6
17911	53	11	3	150103	4	5
17911	53	11	4	150103	4	2
17911	104	11	1	150103	4	7
17911	104	11	2	150103	4	7
17911	104	11	3	150103	4	3
17911	211	11	1	150103	4	5
17911	211	11	2	150103	4	5
17911	211	11	3	150103	4	9
17992	2	11	1	150118	4	6
17992	2	11	2	150118	4	6
17992	2	11	3	150118	4	10
17992	2	11	4	150118	4	9
17992	20	11	1	150118	4	9
17992	20	11	2	150118	4	9
17992	20	11	3	150118	4	5
17992	38	11	1	150118	4	7
17992	38	11	2	150118	99	99
17992	56	11	1	150118	4	6
17992	74	11	1	150118	4	9
17992	108	11	1	150118	4	8
17992	108	11	2	150118	4	7
17992	108	11	3	150118	4	4
17992	108	11	4	150118	4	3
18088	34	11	1	150118	4	9
18088	34	11	2	150118	4	9
18088	34	11	3	150118	4	1
18088	34	11	4	150118	4	10
18088	77	11	1	150118	1	4
18088	77	11	2	150118	4	4
18088	77	11	3	150118	4	7
18088	77	11	4	150118	4	10
18088	77	11	5	150118	4	5
18088	77	11	6	150118	4	3
18088	101	11	1	150118	4	10
18088	101	11	2	150118	4	10
18088	138	11	1	150118	4	10
18088	162	11	1	150118	4	10
18088	162	11	2	150118	4	8
18088	162	11	3	150118	4	8
18121	5	11	1	150103	4	10
18121	5	11	2	150103	4	11
18121	5	11	3	150103	4	12
18121	74	11	1	150103	4	10
18121	74	11	2	150103	4	6
18121	74	11	3	150103	4	10
18121	74	11	4	150103	4	6
18121	132	11	1	150103	4	8
18121	132	11	2	150103	4	11
18121	132	11	3	150103	4	6
18166	3	11	1	150118	4	6
18166	3	11	2	150118	4	7
18166	3	11	3	150118	4	3
18166	3	11	4	150118	4	2
18166	14	11	1	150118	4	6
18166	14	11	2	150118	99	99
18166	14	11	3	150118	4	3
18166	14	11	4	150118	4	3
18166	26	11	1	150118	4	4
18166	26	11	2	150118	4	6
18166	26	11	3	150118	4	3
18166	26	11	4	150118	4	2
18166	26	11	5	150118	4	7
18166	26	11	6	150118	4	6
18166	26	11	7	150118	4	5
18166	26	11	8	150118	4	7
18166	37	11	1	150118	1	3
18166	37	11	2	150118	4	6
18166	37	11	3	150118	4	9
18166	37	11	4	150118	4	3
18166	37	11	5	150118	4	2
18166	72	11	1	150118	4	6
18166	72	11	2	150118	4	6
18166	72	11	3	150118	4	3
18166	72	11	4	150118	4	2
18166	83	11	1	150118	4	5
18196	2	11	1	150118	4	6
18196	2	11	2	150118	4	6
18196	2	11	3	150118	4	12
18196	19	11	1	150118	1	5
18196	19	11	2	150118	1	5
18196	19	11	3	150118	4	3
18196	19	11	4	150118	1	1
18196	19	11	5	150118	1	4
18196	56	11	1	150118	4	6
18196	56	11	2	150118	4	6
18196	56	11	3	150118	4	7
18196	56	11	4	150118	4	3
18196	56	11	5	150118	4	3
18196	56	11	6	150118	4	2
18196	56	11	7	150118	4	1
18197	9	11	1	150103	1	5
18197	9	11	2	150103	1	5
18197	9	11	3	150103	4	10
18197	32	11	1	150103	99	99
18197	32	11	2	150103	4	7
18197	32	11	3	150103	4	10
18197	32	11	4	150103	4	2
18197	42	11	1	150103	4	6
18197	62	11	1	150103	1	4
18197	62	11	2	150103	4	6
18262	30	11	1	150118	4	6
18262	30	11	2	150118	4	6
18262	30	11	3	150118	4	5
18262	30	11	4	150118	4	1
18262	40	11	1	150118	4	6
18262	40	11	2	150118	4	3
18262	50	11	1	150118	1	7
18262	50	11	2	150118	1	8
18262	50	11	3	150118	4	3
18262	70	11	1	150118	1	1
18262	70	11	2	150118	1	4
18262	70	11	3	150118	4	7
18262	70	11	4	150118	4	6
18262	70	11	5	150118	4	3
18262	79	11	1	150118	4	6
18262	79	11	2	150118	4	6
18262	79	11	3	150118	4	3
