UBIGEO	P300A	P301A
150114	QUECHUA	SUPERIOR NO UNIVERSITARIA COMPLETA
150114	CASTELLANO	SUPERIOR UNIVERSITARIA INCOMPLETA
150114	CASTELLANO	SUPERIOR UNIVERSITARIA INCOMPLETA
150114	CASTELLANO	SUPERIOR UNIVERSITARIA INCOMPLETA
150114	CASTELLANO	SUPERIOR UNIVERSITARIA COMPLETA
150114	CASTELLANO	SUPERIOR UNIVERSITARIA COMPLETA
150114	CASTELLANO	PRIMARIA INCOMPLETA
150114	CASTELLANO	SECUNDARIA INCOMPLETA
150114	CASTELLANO	SUPERIOR NO UNIVERSITARIA COMPLETA
150114	CASTELLANO	SECUNDARIA COMPLETA
150114	CASTELLANO	SECUNDARIA INCOMPLETA
