	MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P300N,P300I,P300A,P301A
3,16171,6,11,1,70106,8,1,1,1,1,4,6
3,16171,6,11,2,70106,8,1,2,2,2,4,4
3,16171,6,11,3,70106,8,1,1,3,1,4,5
3,16171,6,11,4,70106,8,1,1,4,1,4,3
3,16171,24,12,1,70106,8,1,1,1,1,4,6
3,16171,24,12,2,70106,8,1,2,2,2,4,4
3,16171,24,12,3,70106,8,1,2,3,2,4,6
3,16171,24,22,1,70106,8,1,1,1,1,4,6
3,16171,24,22,2,70106,8,1,2,2,2,4,6
3,16171,24,22,3,70106,8,1,1,3,1,4,6
3,16171,24,22,4,70106,8,1,4,4,4,4,6
3,16171,24,22,5,70106,8,1,1,5,1,4,3
3,16171,56,11,1,70106,8,1,2,1,2,4,6
3,16171,56,11,2,70106,8,1,2,2,2,4,6
3,16171,56,11,3,70106,8,1,2,3,2,4,5
3,16171,90,11,1,70106,8,1,1,1,1,4,5
3,16171,90,11,2,70106,8,1,2,2,2,4,5
3,16171,90,11,3,70106,8,1,2,3,2,14,3
3,16171,90,11,4,70106,8,1,2,4,2,4,2
3,16171,90,11,7,70106,8,1,7,7,7,4,3
3,16171,90,11,8,70106,8,1,7,8,7,4,6
3,16171,90,11,9,70106,8,1,9,9,9,4,5
3,16171,107,12,1,70106,8,1,1,1,1,4,4
3,16171,107,12,2,70106,8,1,1,2,1,4,7
3,16171,107,12,3,70106,8,1,1,3,1,4,3
3,16173,12,11,1,70101,8,1,1,1,1,1,3
3,16173,12,11,2,70101,8,1,5,2,5,1,3
3,16173,12,11,3,70101,8,1,3,3,3,4,6
3,16173,12,11,4,70101,8,1,4,4,4,4,6
3,16173,12,11,5,70101,8,1,5,5,5,4,6
3,16173,12,11,6,70101,8,1,5,6,5,8,1
3,16173,50,11,1,70101,8,1,1,1,1,4,6
3,16173,50,11,2,70101,8,1,1,2,1,4,6
3,16173,50,11,3,70101,8,1,3,3,3,4,8
3,16173,50,11,4,70101,8,1,4,4,4,4,6
