ENCUESTA NACIONAL DE HOGARES
AÑO = 2024
TRIMESTRE = 4
MÓDULO: GOBERNABILIDAD, DEMOCRACIA Y TRANSPARENCIA
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA
AÑO MES CONGLOME VIVIENDA HOGAR CODPERSO UBIGEO DOMINIO P1.01
2024 10 15010 5 11 1 10101 4 2
2024 10 15010 10 11 1 10101 4 5
2024 10 15010 15 11 4 10101 4 1
2024 10 15010 20 11 2 10101 4 1
2024 10 15010 25 11 1 10101 4 1
2024 10 15010 35 11 1 10101 4 1
2024 10 15015 2 11 1 10101 4 2
2024 10 15015 15 11 1 10101 4 3
2024 10 15015 30 11 2 10101 4 9
2024 10 15015 68 11 2 10101 4 1
2024 10 15015 81 11 1 10101 4 2
2024 10 15015 107 11 2 10101 4 3
2024 10 15039 50 11 1 10201 7 5
2024 10 15039 70 11 1 10201 7 1
2024 10 15039 90 11 2 10201 7 5
2024 10 15039 131 11 1 10201 7 2
2024 10 15039 149 11 1 10201 7 1
2024 10 15039 167 11 1 10201 7 5
2024 10 15062 4 11 1 10203 7 3
2024 10 15062 14 11 3 10203 7 2
2024 10 15062 27 11 1 10203 7 2
2024 10 15062 59 11 1 10203 7 2
2024 10 15062 71 11 1 10203 7 1
2024 10 15071 2 11 7 10202 7 2
2024 10 15071 20 11 1 10202 7 4
2024 10 15071 32 11 1 10202 7 2
2024 10 15071 84 11 4 10202 7 2
2024 10 15071 117 11 2 10202 7 5
2024 10 15071 131 11 3 10202 7 3
2024 10 15072 2 11 1 10201 7 2
2024 10 15072 48 11 1 10201 7 1
2024 10 15072 65 11 3 10201 7 2
2024 10 15072 81 11 1 10201 7 4
2024 10 15072 98 11 2 10201 7 2
2024 10 15072 113 11 1 10201 7 2
2024 10 15112 27 11 2 10608 7 1
2024 10 15112 28 11 1 10608 7 1
2024 10 15112 34 11 1 10608 7 1
2024 10 15112 35 11 2 10608 7 3
2024 10 15112 51 11 1 10608 7 1
2024 10 15112 52 11 1 10608 7 2
2024 10 15112 53 11 2 10608 7 2
2024 10 15112 55 11 1 10608 7 1
2024 10 15134 33 11 1 10702 7 1
2024 10 15134 34 11 2 10702 7 5
2024 10 15134 35 11 1 10702 7 5
2024 10 15134 36 11 1 10702 7 5
2024 10 15134 119 11 1 10702 7 5
2024 10 15134 125 11 1 10702 7 5
2024 10 15134 126 11 2 10702 7 5
2024 10 15134 128 11 1 10702 7 2
2024 10 15143 9 11 1 10202 7 1
2024 10 15143 10 11 1 10202 7 3
2024 10 15143 11 11 1 10202 7 1
2024 10 15143 12 11 1 10202 7 5
2024 10 15143 63 11 1 10202 7 2
2024 10 15143 65 11 2 10202 7 3
2024 10 15143 67 11 3 10202 7 2
2024 10 15143 68 11 1 10202 7 1
2024 10 15145 3 11 2 10705 7 1
2024 10 15145 15 11 1 10705 7 5
2024 10 15145 39 11 2 10705 7 2
2024 10 15145 63 11 1 10705 7 5
2024 10 15145 75 11 2 10705 7 2
2024 10 15145 88 11 1 10705 7 2
2024 10 15145 124 11 1 10705 7 5
2024 10 15145 136 11 4 10705 7 1
2024 10 15158 5 11 2 10705 7 2
2024 10 15158 6 11 1 10705 7 4
2024 10 15158 7 11 1 10705 7 2
2024 10 15158 8 11 1 10705 7 2
2024 10 15158 17 11 1 10705 7 5
2024 10 15158 18 11 1 10705 7 2
2024 10 15158 19 11 2 10705 7 1
2024 10 15158 20 11 1 10705 7 5
2024 10 15164 1 11 2 10702 7 1
2024 10 15164 2 11 2 10702 7 2
2024 10 15164 4 11 1 10702 7 5
2024 10 15164 80 11 2 10702 7 5
2024 10 15164 82 11 1 10702 7 1
2024 10 15164 83 11 2 10702 7 2
2024 10 15166 140 11 2 10403 7 2
2024 10 15166 141 11 1 10403 7 4
2024 10 15166 142 11 3 10403 7 3
2024 10 15166 144 11 2 10403 7 3
2024 10 15174 57 11 3 10701 7 5
2024 10 15174 59 11 3 10701 7 2
2024 10 15174 60 11 1 10701 7 2
2024 10 15174 161 11 1 10701 7 1
2024 10 15174 162 11 1 10701 7 2
2024 10 15174 163 11 1 10701 7 3
2024 10 15174 164 11 1 10701 7 5
2024 10 15195 8 11 1 21801 2 2
2024 10 15195 25 11 2 21801 2 2
2024 10 15195 41 11 1 21801 2 1
2024 10 15195 58 11 2 21801 2 3
2024 10 15195 91 11 2 21801 2 2
2024 10 15195 107 11 2 21801 2 1
2024 10 15195 139 11 2 21801 2 1
2024 10 15195 156 11 2 21801 2 2
2024 10 15204 9 11 1 21809 2 1
2024 10 15204 42 11 3 21809 2 3
2024 10 15204 57 11 1 21809 2 1
2024 10 15204 72 11 1 21809 2 1
2024 10 15204 121 11 3 21809 2 2
2024 10 15204 135 11 1 21809 2 3
2024 10 15217 16 11 3 21801 2 1
