FACULTAD	DEPARTAMENTO	PERIODO	CURSO	SECCION	MATRICULADOS
Agronomia	Entomologia	2025-II	Apicultura General	1490	30
Agronomia	Entomologia	2025-II	Control Biologico	1500	17
Agronomia	Entomologia	2025-II	Crianza y Evaluacion de Insectos	1510	12
Agronomia	Entomologia	2025-II	Entomologia Agricola	1520	41
Agronomia	Entomologia	2025-II	Entomologia Agricola	1530	30
Agronomia	Entomologia	2025-II	Entomologia Agricola	1540	54
Agronomia	Entomologia	2025-II	Entomologia General	1550	31
Agronomia	Entomologia	2025-II	Entomologia General	1560	32
Agronomia	Entomologia	2025-II	Entomologia General	1570	33
Agronomia	Entomologia	2025-II	Entomologia General	1580	34
Agronomia	Entomologia	2025-II	Principios de Control de Plagas	1600	38
Agronomia	Entomologia	2025-II	Principios de Control de Plagas	1610	31
Agronomia	Entomologia	2025-II	Principios de Control de Plagas	1620	42
Agronomia	Entomologia	2025-II	Principios de Control de Plagas	1630	15
Agronomia	Fitopatologia	2025-II	Fitopatologia Agricola	1220	29
Agronomia	Fitopatologia	2025-II	Fitopatologia Agricola	1230	18
Agronomia	Fitopatologia	2025-II	Fitopatologia Agricola	1240	39
Agronomia	Fitopatologia	2025-II	Fitopatologia Agricola	1250	24
Agronomia	Fitopatologia	2025-II	Fitopatologia General	1260	20
Agronomia	Fitopatologia	2025-II	Fitopatologia General	1270	24
Agronomia	Fitopatologia	2025-II	Fitopatologia General	1280	17
Agronomia	Fitopatologia	2025-II	Fitopatologia General	1290	24
Agronomia	Fitopatologia	2025-II	Fitopatologia General	1300	37
Agronomia	Fitopatologia	2025-II	Fitovirologia General	1310	8
Agronomia	Fitotecnia	2025-II	Agroecologia	1860	29
Agronomia	Fitotecnia	2025-II	Agroecologia	1870	15
Agronomia	Fitotecnia	2025-II	Agroecologia	1880	25
Agronomia	Fitotecnia	2025-II	Agroecologia	3000	32
Agronomia	Fitotecnia	2025-II	Agrotecnia	1890	33
Agronomia	Fitotecnia	2025-II	Agrotecnia	1900	32
Agronomia	Fitotecnia	2025-II	Agrotecnia	1910	25
Agronomia	Fitotecnia	2025-II	Agrotecnia	1920	25
Agronomia	Fitotecnia	2025-II	Algodonero y Otras Fibras Vegetales	1930	14
Agronomia	Fitotecnia	2025-II	Arroz	1940	8
Agronomia	Fitotecnia	2025-II	Biotecnologia - Micropropagacion	1990	29
Agronomia	Fitotecnia	2025-II	Biotecnologia - Micropropagacion	2000	31
Agronomia	Fitotecnia	2025-II	Caña de Azucar	2010	17
Agronomia	Fitotecnia	2025-II	Cereales Menores y Granos Nativos	2020	2
Agronomia	Fitotecnia	2025-II	Cultivos Forrajeros	2030	21
Agronomia	Fitotecnia	2025-II	Cultivos I (Cebada, trigo, arroz, maiz, cereales andinos)	2040	61
Agronomia	Fitotecnia	2025-II	Cultivos II (Papa, camote, leguminosas)	2050	63
Agronomia	Fitotecnia	2025-II	Cultivos III (Algodon, oleaginosas, caña de azucar)	2060	69
Agronomia	Fitotecnia	2025-II	Cultivos IV (Cultivos tropicales, cultivos forrajeros)	2070	73
Agronomia	Fitotecnia	2025-II	Cultivos Tropicales	2080	9
Agronomia	Fitotecnia	2025-II	Ecofisiologia de Cultivos	2100	11
Agronomia	Fitotecnia	2025-II	Ecofisiologia de Cultivos	2110	12
Agronomia	Fitotecnia	2025-II	Extension y Promocion Agraria	2120	19
Agronomia	Fitotecnia	2025-II	Extension y Promocion Agraria	2130	25
