AÑO	MES	CONGLOME	VIVIENDA	HOGAR	CODPERSO	CODINFOR	UBIGEO	DOMINIO
2025	1	15009	12	11	1	1	10101	4
2025	1	15009	25	11	1	1	10101	4
2025	1	15009	49	11	1	1	10101	4
2025	1	15009	61	11	1	1	10101	4
2025	1	15009	74	11	2	2	10101	4
2025	1	15009	86	11	2	2	10101	4
2025	1	15009	121	11	1	1	10101	4
2025	1	15009	130	11	1	1	10101	4
2025	1	15024	26	11	1	1	10101	4
2025	1	15024	39	11	1	1	10101	4
2025	1	15024	69	11	3	3	10101	4
2025	1	15024	98	11	2	2	10101	4
2025	1	15024	123	11	4	4	10101	4
2025	1	15029	3	11	1	1	10110	4
2025	1	15029	17	11	4	4	10110	4
2025	1	15029	47	11	2	2	10110	4
2025	1	15040	9	11	1	1	10307	7
2025	1	15040	56	11	1	1	10307	7
2025	1	15040	77	11	2	2	10307	7
2025	1	15040	99	11	1	1	10307	7
2025	1	15040	121	11	1	1	10307	7
2025	1	15040	142	11	5	5	10307	7
2025	1	15052	3	11	1	1	10701	7
2025	1	15052	14	11	3	3	10701	7
2025	1	15052	24	11	1	1	10701	7
2025	1	15052	34	11	2	2	10701	7
2025	1	15052	42	11	1	1	10701	7
2025	1	15052	55	11	2	2	10701	7
2025	1	15080	9	11	1	1	10101	4
2025	1	15080	10	11	2	2	10101	4
2025	1	15080	12	11	1	1	10101	4
2025	1	15080	64	11	1	1	10101	4
2025	1	15080	65	11	2	2	10101	4
2025	1	15080	66	11	1	1	10101	4
2025	1	15080	67	11	2	2	10101	4
2025	1	15080	68	11	2	2	10101	4
2025	1	15084	69	11	2	2	10504	4
2025	1	15084	70	11	2	2	10504	4
2025	1	15084	71	11	2	2	10504	4
2025	1	15084	72	11	1	1	10504	4
2025	1	15084	167	11	1	1	10504	4
2025	1	15084	168	11	3	3	10504	4
2025	1	15084	169	11	1	1	10504	4
2025	1	15084	170	11	1	1	10504	4
2025	1	15095	24	11	1	1	10501	4
2025	1	15095	49	11	1	1	10501	4
2025	1	15095	86	11	2	2	10501	4
2025	1	15095	98	11	1	1	10501	4
2025	1	15095	123	11	1	1	10501	4
2025	1	15095	144	11	2	2	10501	4
2025	1	15103	9	11	2	2	10109	4
2025	1	15103	10	11	1	1	10109	4
2025	1	15103	11	11	4	4	10109	4
2025	1	15103	12	11	1	1	10109	4
2025	1	15103	19	11	2	2	10109	4
2025	1	15103	20	11	1	1	10109	4
2025	1	15107	69	11	1	1	10205	7
2025	1	15107	70	11	2	2	10205	7
2025	1	15107	71	11	1	1	10205	7
2025	1	15107	152	11	1	1	10205	7
2025	1	15107	153	11	1	1	10205	7
