AÑO	MES	CONGLOME	VIVIENDA	HOGAR	CODPERSO	CODINFOR	UBIGEO	DISTRITO	P1$01
2025	1	16166	23	11	1	0	70104	LA PERLA	9
2025	1	16166	39	11	1	0	70104	LA PERLA	9
2025	1	16166	85	11	2	0	70104	LA PERLA	9
2025	1	16166	127	11	1	0	70104	LA PERLA	9
2025	1	16166	142	11	1	0	70104	LA PERLA	9
2025	1	16187	22	11	2	0	70101	CALLAO	9
2025	1	16187	47	12	2	0	70101	CALLAO	9
2025	1	16187	47	22	2	0	70101	CALLAO	9
2025	1	16187	72	11	1	0	70101	CALLAO	9
2025	1	16187	140	11	1	1	70101	CALLAO	5
2025	1	16205	1	11	2	0	70106	VENTANILLA	9
2025	1	16205	9	11	1	0	70106	VENTANILLA	9
2025	1	16205	17	11	1	0	70106	VENTANILLA	9
2025	1	16205	27	11	2	2	70106	VENTANILLA	4
2025	1	16205	35	11	2	2	70106	VENTANILLA	5
2025	1	16219	10	11	1	0	70106	VENTANILLA	9
2025	1	16219	18	11	2	0	70106	VENTANILLA	9
2025	1	16219	51	11	1	0	70106	VENTANILLA	9
2025	1	16219	59	11	1	1	70106	VENTANILLA	5
2025	1	16219	65	11	1	0	70106	VENTANILLA	9
2025	1	16233	10	11	2	2	70106	VENTANILLA	3
2025	1	16233	24	11	1	0	70106	VENTANILLA	9
2025	1	16233	39	11	2	2	70106	VENTANILLA	3
2025	1	16233	67	11	2	0	70106	VENTANILLA	9
2025	1	16233	93	11	3	0	70106	VENTANILLA	9
2025	1	16235	18	11	2	0	70101	CALLAO	9
2025	1	16235	36	11	1	1	70101	CALLAO	1
2025	1	16235	53	11	1	1	70101	CALLAO	3
2025	1	16235	74	11	1	1	70101	CALLAO	2
2025	1	16235	92	11	1	1	70101	CALLAO	2
2025	1	16235	110	11	1	0	70101	CALLAO	9
2025	1	16235	129	11	1	1	70101	CALLAO	2
2025	1	16235	145	11	2	2	70101	CALLAO	1
2025	1	16241	15	11	2	0	70106	VENTANILLA	9
2025	1	16241	29	11	2	2	70106	VENTANILLA	1
2025	1	16241	43	12	2	2	70106	VENTANILLA	2
2025	1	16241	43	22	1	1	70106	VENTANILLA	2
2025	1	16241	57	11	1	0	70106	VENTANILLA	9
2025	1	16251	2	11	1	0	70106	VENTANILLA	9
2025	1	16251	66	11	1	1	70106	VENTANILLA	2
2025	1	16251	88	11	1	1	70106	VENTANILLA	2
2025	1	16251	110	11	1	0	70106	VENTANILLA	9
2025	1	16251	132	12	1	0	70106	VENTANILLA	9
2025	1	16251	132	22	1	0	70106	VENTANILLA	9
2025	1	16253	10	11	2	2	70101	CALLAO	1
2025	1	16253	88	11	2	0	70101	CALLAO	9
2025	1	16253	108	11	2	2	70101	CALLAO	2
2025	1	16253	125	11	1	0	70101	CALLAO	9
2025	1	16253	184	11	1	1	70101	CALLAO	1
2025	1	16263	12	11	1	0	70106	VENTANILLA	9
2025	1	16263	26	11	2	2	70106	VENTANILLA	2
2025	1	16263	69	11	2	0	70106	VENTANILLA	9
2025	1	16263	83	11	2	0	70106	VENTANILLA	9
2025	1	16263	97	11	1	0	70106	VENTANILLA	9
2025	1	16263	126	11	1	1	70106	VENTANILLA	4
2025	1	16286	88	12	3	0	70101	CALLAO	9
2025	1	16286	88	22	2	0	70101	CALLAO	9
2025	1	16286	112	11	1	0	70101	CALLAO	9
2025	1	16286	159	11	1	1	70101	CALLAO	1
2025	1	16286	183	11	1	0	70101	CALLAO	9
2025	1	16286	207	11	1	0	70101	CALLAO	9
2025	1	16288	12	11	3	0	70106	VENTANILLA	9
2025	1	16288	30	11	2	2	70106	VENTANILLA	1
2025	1	16288	66	11	2	0	70106	VENTANILLA	9
2025	1	16288	84	11	2	2	70106	VENTANILLA	1
2025	1	16288	101	11	2	2	70106	VENTANILLA	1
2025	1	16288	119	11	4	0	70106	VENTANILLA	9
2025	1	16305	8	11	3	0	70102	BELLAVISTA	9
2025	1	16305	27	11	1	0	70102	BELLAVISTA	9
2025	1	16305	83	11	1	0	70102	BELLAVISTA	9
2025	1	16305	101	11	1	1	70102	BELLAVISTA	2
2025	1	16305	121	11	1	0	70102	BELLAVISTA	9
2025	1	16305	179	11	4	0	70102	BELLAVISTA	9
2025	1	16305	197	11	1	0	70102	BELLAVISTA	9
2025	1	16319	146	11	1	0	70101	CALLAO	9
2025	1	16319	213	11	3	0	70101	CALLAO	9
2025	1	16319	280	11	2	0	70101	CALLAO	9
2025	1	16319	346	11	1	0	70101	CALLAO	9
2025	1	16319	612	11	2	0	70101	CALLAO	9
