ubigeo_reniec;ubigeo_inei;Departamento;Provincia;Distrito;Edad_Anio;Sexo;Cantidad
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;6;M;9
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;65-69;F;23
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;65-69;M;25
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;60-64;F;40
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;60-64;M;30
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;5;F;19
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;5;M;16
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;55-59;F;36
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;55-59;M;36
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;50-54;F;49
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;50-54;M;44
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;4;F;18
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;4;M;17
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;45-49;F;43
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;45-49;M;56
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;40-44;F;48
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;40-44;M;58
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;3;F;20
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;3;M;15
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;35-39;F;55
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;35-39;M;58
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;30-34;F;40
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;30-34;M;55
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;2;F;16
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;2;M;22
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;25-29;F;37
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;25-29;M;64
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;20-24;F;58
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;20-24;M;64
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;1;F;20
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;1;M;21
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;19;F;0
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;19;M;31
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;18;F;19
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;18;M;14
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;17;F;17
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;17;M;17
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;16;F;18
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;16;M;19
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;15;F;21
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;15;M;20
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;14;F;18
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;14;M;25
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;13;F;15
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;13;M;32
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;12;F;21
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;12;M;27
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;11;F;32
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;11;M;15
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;10;F;24
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;10;M;21
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;0;F;31
021406;021910;ANCASH;SIHUAS;SICSIBAMBA;0;M;12
021501;022001;ANCASH;YUNGAY;YUNGAY;9;F;226
021501;022001;ANCASH;YUNGAY;YUNGAY;9;M;223
021501;022001;ANCASH;YUNGAY;YUNGAY;8;F;211
021501;022001;ANCASH;YUNGAY;YUNGAY;8;M;238
021501;022001;ANCASH;YUNGAY;YUNGAY;80  +;F;153
021501;022001;ANCASH;YUNGAY;YUNGAY;80  +;M;183
021501;022001;ANCASH;YUNGAY;YUNGAY;7;F;233
021501;022001;ANCASH;YUNGAY;YUNGAY;7;M;212
021501;022001;ANCASH;YUNGAY;YUNGAY;75-79;F;171
021501;022001;ANCASH;YUNGAY;YUNGAY;75-79;M;169
021501;022001;ANCASH;YUNGAY;YUNGAY;70-74;F;214
021501;022001;ANCASH;YUNGAY;YUNGAY;70-74;M;247
021501;022001;ANCASH;YUNGAY;YUNGAY;6;F;210
021501;022001;ANCASH;YUNGAY;YUNGAY;6;M;231
021501;022001;ANCASH;YUNGAY;YUNGAY;65-69;F;316
021501;022001;ANCASH;YUNGAY;YUNGAY;65-69;M;320
021501;022001;ANCASH;YUNGAY;YUNGAY;60-64;F;381
021501;022001;ANCASH;YUNGAY;YUNGAY;60-64;M;376
021501;022001;ANCASH;YUNGAY;YUNGAY;5;F;241
021501;022001;ANCASH;YUNGAY;YUNGAY;5;M;191
021501;022001;ANCASH;YUNGAY;YUNGAY;55-59;F;432
021501;022001;ANCASH;YUNGAY;YUNGAY;55-59;M;474
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;70-74;F;43
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;70-74;M;41
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;6;F;23
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;6;M;38
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;65-69;F;60
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;65-69;M;58
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;60-64;F;64
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;60-64;M;70
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;5;F;30
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;5;M;32
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;55-59;F;92
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;55-59;M;107
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;50-54;F;113
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;50-54;M;108
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;4;F;33
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;4;M;30
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;45-49;F;126
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;45-49;M;120
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;40-44;F;146
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;40-44;M;128
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;3;F;31
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;3;M;35
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;35-39;F;143
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;35-39;M;141
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;30-34;F;137
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;30-34;M;168
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;2;F;42
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;2;M;32
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;25-29;F;189
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;25-29;M;183
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;20-24;F;194
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;20-24;M;191
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;1;F;41
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;1;M;42
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;19;F;37
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;19;M;51
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;18;F;46
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;18;M;47
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;17;F;43
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;17;M;51
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;16;F;46
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;16;M;49
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;15;F;50
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;15;M;41
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;14;F;48
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;14;M;42
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;13;F;50
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;13;M;37
130206;140204;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;12;F;43
140129;150139;LIMA;LIMA;SANTA ROSA;10;F;196
140129;150139;LIMA;LIMA;SANTA ROSA;10;M;169
140129;150139;LIMA;LIMA;SANTA ROSA;0;F;171
140129;150139;LIMA;LIMA;SANTA ROSA;0;M;155
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;9;F;2177
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;9;M;2147
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;8;F;2104
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;8;M;2256
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;80  +;F;3935
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;80  +;M;6347
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;7;F;2257
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;7;M;2140
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;75-79;F;3624
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;75-79;M;4885
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;70-74;F;4958
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;70-74;M;6419
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;6;F;2270
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;6;M;2150
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;65-69;F;6460
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;65-69;M;8464
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;60-64;F;7948
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;60-64;M;10315
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;5;F;2223
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;5;M;2194
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;55-59;F;9935
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;55-59;M;12545
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;50-54;F;11242
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;50-54;M;13702
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;4;F;2162
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;4;M;2219
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;45-49;F;11684
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;45-49;M;14138
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;40-44;F;12715
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;40-44;M;15368
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;3;F;2176
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;3;M;2124
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;35-39;F;12754
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;35-39;M;15719
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;30-34;F;12157
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;30-34;M;14467
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;2;F;2151
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;2;M;2012
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;25-29;F;13492
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;25-29;M;15073
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;20-24;F;13138
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;20-24;M;14012
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;1;F;2051
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;1;M;1908
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;19;F;2704
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;19;M;2717
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;18;F;2679
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;18;M;2772
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;17;F;2694
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;17;M;2700
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;16;F;2632
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;16;M;2567
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;15;F;2547
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;15;M;2374
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;14;F;2390
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;14;M;2269
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;13;F;2215
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;13;M;2161
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;12;F;2110
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;12;M;2088
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;11;F;2149
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;11;M;2030
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;10;F;2127
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;10;M;2139
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;0;F;1864
140130;150140;LIMA;LIMA;SANTIAGO DE SURCO;0;M;1815
140131;150141;LIMA;LIMA;SURQUILLO;9;F;555
140131;150141;LIMA;LIMA;SURQUILLO;9;M;545
140131;150141;LIMA;LIMA;SURQUILLO;8;F;553
140131;150141;LIMA;LIMA;SURQUILLO;8;M;562
140131;150141;LIMA;LIMA;SURQUILLO;80  +;F;1106
140131;150141;LIMA;LIMA;SURQUILLO;80  +;M;1693
140131;150141;LIMA;LIMA;SURQUILLO;7;F;555
140131;150141;LIMA;LIMA;SURQUILLO;7;M;577
140131;150141;LIMA;LIMA;SURQUILLO;75-79;F;1059
140131;150141;LIMA;LIMA;SURQUILLO;75-79;M;1339
140131;150141;LIMA;LIMA;SURQUILLO;70-74;F;1490
140131;150141;LIMA;LIMA;SURQUILLO;70-74;M;1873
140131;150141;LIMA;LIMA;SURQUILLO;6;F;564
140131;150141;LIMA;LIMA;SURQUILLO;6;M;583
140131;150141;LIMA;LIMA;SURQUILLO;65-69;F;1841
140131;150141;LIMA;LIMA;SURQUILLO;65-69;M;2298
140131;150141;LIMA;LIMA;SURQUILLO;60-64;F;2166
140131;150141;LIMA;LIMA;SURQUILLO;60-64;M;2828
140131;150141;LIMA;LIMA;SURQUILLO;5;F;580
140131;150141;LIMA;LIMA;SURQUILLO;5;M;578
140131;150141;LIMA;LIMA;SURQUILLO;55-59;F;2596
140131;150141;LIMA;LIMA;SURQUILLO;55-59;M;3495
140131;150141;LIMA;LIMA;SURQUILLO;50-54;F;2858
140131;150141;LIMA;LIMA;SURQUILLO;50-54;M;3440
140131;150141;LIMA;LIMA;SURQUILLO;4;F;572
