SEDE_ATENCION|DISTRITO_ATENCION|PROVINCIA_ATENCION|DEPARTAMENTO_ATENCION|SEXO|EDAD|ANIO_EMISION|MES_EMISION|ESTADO_TRAMITE|CANTIDAD|FECHA_PROCESO
A.I.J.CH.|CALLAO|CALLAO|CALLAO|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|2779|2026-08-05
A.I.J.CH.|CALLAO|CALLAO|CALLAO|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|561|2026-08-05
A.I.J.CH.|CALLAO|CALLAO|CALLAO|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|3023|2026-08-05
A.I.J.CH.|CALLAO|CALLAO|CALLAO|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|622|2026-08-05
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|542|2026-08-05
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|114|2026-08-05
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|479|2026-08-05
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|121|2026-08-05
CHIMBOTE|CHIMBOTE|SANTA|ANCASH|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|364|2026-08-05
CHIMBOTE|CHIMBOTE|SANTA|ANCASH|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|69|2026-08-05
CHIMBOTE|CHIMBOTE|SANTA|ANCASH|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|284|2026-08-05
CHIMBOTE|CHIMBOTE|SANTA|ANCASH|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|70|2026-08-05
CUSCO|CUSCO|CUSCO|CUSCO|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|543|2026-08-05
CUSCO|CUSCO|CUSCO|CUSCO|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|107|2026-08-05
CUSCO|CUSCO|CUSCO|CUSCO|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|457|2026-08-05
CUSCO|CUSCO|CUSCO|CUSCO|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|137|2026-08-05
HUANCAYO|HUANCAYO|HUANCAYO|JUNIN|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|418|2026-08-05
HUANCAYO|HUANCAYO|HUANCAYO|JUNIN|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|97|2026-08-05
HUANCAYO|HUANCAYO|HUANCAYO|JUNIN|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|462|2026-08-05
HUANCAYO|HUANCAYO|HUANCAYO|JUNIN|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|67|2026-08-05
LA MOLINA|LA MOLINA|LIMA|LIMA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1263|2026-08-05
LA MOLINA|LA MOLINA|LIMA|LIMA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|295|2026-08-05
LA MOLINA|LA MOLINA|LIMA|LIMA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1042|2026-08-05
LA MOLINA|LA MOLINA|LIMA|LIMA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|278|2026-08-05
LIMA|LIMA|LIMA|LIMA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|3585|2026-08-05
LIMA|LIMA|LIMA|LIMA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|870|2026-08-05
LIMA|LIMA|LIMA|LIMA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|2798|2026-08-05
LIMA|LIMA|LIMA|LIMA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|902|2026-08-05
LIMA - MIGRACENTRO VILLA MARÍA|VILLA MARIA DEL TRIUNFO|LIMA|LIMA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1200|2026-08-05
LIMA - MIGRACENTRO VILLA MARÍA|VILLA MARIA DEL TRIUNFO|LIMA|LIMA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|255|2026-08-05
LIMA - MIGRACENTRO VILLA MARÍA|VILLA MARIA DEL TRIUNFO|LIMA|LIMA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|971|2026-08-05
LIMA - MIGRACENTRO VILLA MARÍA|VILLA MARIA DEL TRIUNFO|LIMA|LIMA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|253|2026-08-05
MAC AREQUIPA PORONGOCHE|PAUCARPATA|AREQUIPA|AREQUIPA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|730|2026-08-05
MAC AREQUIPA PORONGOCHE|PAUCARPATA|AREQUIPA|AREQUIPA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|184|2026-08-05
MAC AREQUIPA PORONGOCHE|PAUCARPATA|AREQUIPA|AREQUIPA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|585|2026-08-05
MAC AREQUIPA PORONGOCHE|PAUCARPATA|AREQUIPA|AREQUIPA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|174|2026-08-05
MAC CAJAMARCA|CAJAMARCA|CAJAMARCA|CAJAMARCA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|247|2026-08-05
MAC CAJAMARCA|CAJAMARCA|CAJAMARCA|CAJAMARCA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|53|2026-08-05
MAC CAJAMARCA|CAJAMARCA|CAJAMARCA|CAJAMARCA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|241|2026-08-05
MAC CAJAMARCA|CAJAMARCA|CAJAMARCA|CAJAMARCA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|54|2026-08-05
MAC HUANUCO|HUANUCO|HUANUCO|HUANUCO|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|139|2026-08-05
MAC HUANUCO|HUANUCO|HUANUCO|HUANUCO|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|29|2026-08-05
MAC HUANUCO|HUANUCO|HUANUCO|HUANUCO|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|137|2026-08-05
MAC HUANUCO|HUANUCO|HUANUCO|HUANUCO|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|32|2026-08-05
MAC LIMA ESTE|SANTA ANITA|LIMA|LIMA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1733|2026-08-05
MAC LIMA ESTE|SANTA ANITA|LIMA|LIMA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|350|2026-08-05
MAC LIMA ESTE|SANTA ANITA|LIMA|LIMA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1521|2026-08-05
MAC LIMA ESTE|SANTA ANITA|LIMA|LIMA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|381|2026-08-05
MAC LIMA NORTE|COMAS|LIMA|LIMA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1821|2026-08-05
MAC LIMA NORTE|COMAS|LIMA|LIMA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|425|2026-08-05
MAC LIMA NORTE|COMAS|LIMA|LIMA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1600|2026-08-05
MAC LIMA NORTE|COMAS|LIMA|LIMA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|372|2026-08-05
MAC LORETO|PUNCHANA|MAYNAS|LORETO|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|161|2026-08-05
MAC LORETO|PUNCHANA|MAYNAS|LORETO|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|33|2026-08-05
MAC LORETO|PUNCHANA|MAYNAS|LORETO|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|139|2026-08-05
MAC LORETO|PUNCHANA|MAYNAS|LORETO|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|31|2026-08-05
MAC UCAYALI|YARINACOCHA|CORONEL PORTILLO|UCAYALI|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|142|2026-08-05
MAC UCAYALI|YARINACOCHA|CORONEL PORTILLO|UCAYALI|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|41|2026-08-05
MAC UCAYALI|YARINACOCHA|CORONEL PORTILLO|UCAYALI|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|141|2026-08-05
MAC UCAYALI|YARINACOCHA|CORONEL PORTILLO|UCAYALI|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|39|2026-08-05
MIGRACENTRO REAL PLAZA PRIMAVERA|SAN BORJA|LIMA|LIMA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1182|2026-08-05
MIGRACENTRO REAL PLAZA PRIMAVERA|SAN BORJA|LIMA|LIMA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|296|2026-08-05
MIGRACENTRO REAL PLAZA PRIMAVERA|SAN BORJA|LIMA|LIMA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|957|2026-08-05
MIGRACENTRO REAL PLAZA PRIMAVERA|SAN BORJA|LIMA|LIMA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|262|2026-08-05
PIURA|PIURA|PIURA|PIURA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|323|2026-08-05
PIURA|PIURA|PIURA|PIURA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|58|2026-08-05
PIURA|PIURA|PIURA|PIURA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|307|2026-08-05
PIURA|PIURA|PIURA|PIURA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|59|2026-08-05
PTO MALDON.|TAMBOPATA|TAMBOPATA|MADRE DE DIOS|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|98|2026-08-05
PTO MALDON.|TAMBOPATA|TAMBOPATA|MADRE DE DIOS|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|28|2026-08-05
PTO MALDON.|TAMBOPATA|TAMBOPATA|MADRE DE DIOS|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|95|2026-08-05
PTO MALDON.|TAMBOPATA|TAMBOPATA|MADRE DE DIOS|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|17|2026-08-05
PUERTO CALLAO|CALLAO|CALLAO|CALLAO|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|644|2026-08-05
PUERTO CALLAO|CALLAO|CALLAO|CALLAO|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|136|2026-08-05
PUERTO CALLAO|CALLAO|CALLAO|CALLAO|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|465|2026-08-05
PUERTO CALLAO|CALLAO|CALLAO|CALLAO|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|147|2026-08-05
PUNO|PUNO|PUNO|PUNO|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|331|2026-08-05
PUNO|PUNO|PUNO|PUNO|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|104|2026-08-05
PUNO|PUNO|PUNO|PUNO|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|311|2026-08-05
PUNO|PUNO|PUNO|PUNO|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|82|2026-08-05
PURUCHUCO|ATE|LIMA|LIMA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1205|2026-08-05
PURUCHUCO|ATE|LIMA|LIMA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|324|2026-08-05
PURUCHUCO|ATE|LIMA|LIMA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1009|2026-08-05
PURUCHUCO|ATE|LIMA|LIMA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|296|2026-08-05
SJMIRAFLORES|SAN JUAN DE MIRAFLORES|LIMA|LIMA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1731|2026-08-05
SJMIRAFLORES|SAN JUAN DE MIRAFLORES|LIMA|LIMA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|437|2026-08-05
SJMIRAFLORES|SAN JUAN DE MIRAFLORES|LIMA|LIMA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|1376|2026-08-05
SJMIRAFLORES|SAN JUAN DE MIRAFLORES|LIMA|LIMA|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|436|2026-08-05
TACNA|TACNA|TACNA|TACNA|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|291|2026-08-05
TACNA|TACNA|TACNA|TACNA|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|2025|ENERO|EMITIDO|57|2026-08-05
TACNA|TACNA|TACNA|TACNA|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|2025|ENERO|EMITIDO|250|2026-08-05
