Listado de Alumnos matriculados del año 2026 - 1er Semestre, por facultad, departamento, periodo, curso y número de matriculados.
Facultad	Departamento	Periodo	Curso	total_matriculados
Agronomia	Entomologia	2026-I	Apicultura General	28
Agronomia	Entomologia	2026-I	Control Biologico	19
Agronomia	Entomologia	2026-I	Crianza y Evaluacion de Insectos	8
Agronomia	Entomologia	2026-I	Entomologia Agricola	123
Agronomia	Entomologia	2026-I	Entomologia General	145
Agronomia	Entomologia	2026-I	Principios de Control de Plagas	121
Agronomia	Fitopatologia	2026-I	Fitopatologia Agricola	102
Agronomia	Fitopatologia	2026-I	Fitopatologia General	142
Agronomia	Fitopatologia	2026-I	Micologia Agricola	7
Agronomia	Fitopatologia	2026-I	Nematologia Agricola	8
Agronomia	Fitotecnia	2026-I	Agroecologia	90
Agronomia	Fitotecnia	2026-I	Agrotecnia	144
Agronomia	Fitotecnia	2026-I	Algodonero y Otras Fibras Vegetales	9
Agronomia	Fitotecnia	2026-I	Arroz	9
Agronomia	Fitotecnia	2026-I	Biotecnologia - Micropropagacion	76
Agronomia	Fitotecnia	2026-I	Caña de Azucar	24
Agronomia	Fitotecnia	2026-I	Cereales Menores y Granos Nativos	5
Agronomia	Fitotecnia	2026-I	Cultivos Forrajeros	12
Agronomia	Fitotecnia	2026-I	Cultivos I (Cebada, trigo, arroz, maiz, cereales andinos)	77
Agronomia	Fitotecnia	2026-I	Cultivos II (Papa, camote, leguminosas)	84
Agronomia	Fitotecnia	2026-I	Cultivos III (Algodon, oleaginosas, caña de azucar)	71
Agronomia	Fitotecnia	2026-I	Cultivos IV (Cultivos tropicales, cultivos forrajeros)	81
Agronomia	Fitotecnia	2026-I	Cultivos Tropicales	15
Agronomia	Fitotecnia	2026-I	Ecofisiologia de Cultivos	42
Agronomia	Fitotecnia	2026-I	Extension y Promocion Agraria	82
Agronomia	Fitotecnia	2026-I	Fitogenetica	94
Agronomia	Fitotecnia	2026-I	Fitomejoramiento General	84
Agronomia	Fitotecnia	2026-I	Formulacion y Evaluacion de Proyectos Agrarios	18
Agronomia	Fitotecnia	2026-I	Gestion Agricola I	77
Agronomia	Fitotecnia	2026-I	Gestion Agricola II	93
Agronomia	Fitotecnia	2026-I	Gestion Agricola III	69
Agronomia	Fitotecnia	2026-I	Introduccion a la Agronomia	142
Agronomia	Fitotecnia	2026-I	Leguminosas de Granos	32
Agronomia	Fitotecnia	2026-I	Maiz y Sorgo	6
Agronomia	Fitotecnia	2026-I	Manejo de Malezas	79
Agronomia	Fitotecnia	2026-I	Manejo de Pasturas	23
Agronomia	Fitotecnia	2026-I	Manejo y Control de Semillas	115
Agronomia	Fitotecnia	2026-I	Oleaginosas	28
Agronomia	Fitotecnia	2026-I	Practicas Agronomicas I	129
Agronomia	Fitotecnia	2026-I	Practicas Agronomicas II	109
Agronomia	Fitotecnia	2026-I	Sistemas Agrarios	12
Agronomia	Fitotecnia	2026-I	Sistematica Agricola	106
Agronomia	Fitotecnia	2026-I	Tecnologias Agricolas	60
Agronomia	Fitotecnia	2026-I	Tuberosas y Raices	8
Agronomia	Horticultura	2026-I	Fisiologia y Manejo Post Cosecha	95
Agronomia	Horticultura	2026-I	Floricultura II	10
Agronomia	Horticultura	2026-I	Fruticultura Especial I	20
Agronomia	Horticultura	2026-I	Fruticultura Especial II	18
Agronomia	Horticultura	2026-I	Fruticultura General	93
Agronomia	Horticultura	2026-I	Horticultura Especial	15
Agronomia	Horticultura	2026-I	Manejo de Viveros	16
Agronomia	Horticultura	2026-I	Metodologia de la Investigacion	39
Agronomia	Horticultura	2026-I	Olericultura General	109
Agronomia	Horticultura	2026-I	Principios de Arquitectura Paisajista	7
Agronomia	Horticultura	2026-I	Principios de Propagacion de Plantas	89
Agronomia	Horticultura	2026-I	Seminario en Ciencias Agronomia I	99
Agronomia	Horticultura	2026-I	Seminario en Ciencias Agronomia II	69
Agronomia	Horticultura	2026-I	Viticultura	18
Agronomia	Suelos	2026-I	Analisis de Suelos y Plantas	13
Agronomia	Suelos	2026-I	Cartografia del Suelo	9
Agronomia	Suelos	2026-I	Contaminacion de Suelos	61
Agronomia	Suelos	2026-I	Edafologia	281
Agronomia	Suelos	2026-I	Fertilidad del Suelo	130
Agronomia	Suelos	2026-I	Fundamentos del Riego	81
Agronomia	Suelos	2026-I	Geologia	58
Agronomia	Suelos	2026-I	Manejo y Conservacion del Suelo	104
Agronomia	Suelos	2026-I	Microbiologia del Suelo	30
Ciencias	Biologia	2026-I	Biologia Celular	36
Ciencias	Biologia	2026-I	Biologia Experimental I	18
Ciencias	Biologia	2026-I	Biologia Experimental II	17
Ciencias	Biologia	2026-I	Biologia Experimental III	21
Ciencias	Biologia	2026-I	Biologia General	465
Ciencias	Biologia	2026-I	Biotecnologia	27
Ciencias	Biologia	2026-I	Botanica General	201
Ciencias	Biologia	2026-I	Comunicacion Cientifica	15
Ciencias	Biologia	2026-I	Diversidad de Briofitas, Pteridofitas y Gimnospermas	27
Ciencias	Biologia	2026-I	Diversidad de Invertebrados	40
Ciencias	Biologia	2026-I	Diversidad y Ecologia Microbiana	23
Ciencias	Biologia	2026-I	Ecofisiologia	24
Ciencias	Biologia	2026-I	Ecologia de Ecosistemas	20
Ciencias	Biologia	2026-I	Ecologia de Montanas	16
Ciencias	Biologia	2026-I	Ecologia General	644
Ciencias	Biologia	2026-I	Fisiologia Animal	28
Ciencias	Biologia	2026-I	Fisiologia Vegetal	219
Ciencias	Biologia	2026-I	Genetica	50
Ciencias	Biologia	2026-I	Genetica Molecular Microbiana	20
Ciencias	Biologia	2026-I	Genetica Vegetal	34
Ciencias	Biologia	2026-I	Investigacion	23
Ciencias	Biologia	2026-I	Laboratorio de Genetica	25
Ciencias	Biologia	2026-I	Laboratorio de Microbiologia	89
Ciencias	Biologia	2026-I	Metabolismo Microbiano	39
Ciencias	Biologia	2026-I	Microbiologia	80
Ciencias	Biologia	2026-I	Microbiologia Industrial	15
Ciencias	Biologia	2026-I	Principios de Bioinformatica	20
Ciencias	Biologia	2026-I	Zoologia General	49
Ciencias	Fisica y Meteorologia	2026-I	Agrometeorologia	16
Ciencias	Fisica y Meteorologia	2026-I	Biofisica	21
Ciencias	Fisica y Meteorologia	2026-I	Cambio Climatico, Adaptacion y Mitigacion	18
Ciencias	Fisica y Meteorologia	2026-I	Climatologia	39
Ciencias	Fisica y Meteorologia	2026-I	Climatologia Aplicada	14
Ciencias	Fisica y Meteorologia	2026-I	Electronica Experimental	28
Ciencias	Fisica y Meteorologia	2026-I	Evaluacion Y Vigilancia del Riesgo Climatico	11
Ciencias	Fisica y Meteorologia	2026-I	Fisica Ambiental	57
Ciencias	Fisica y Meteorologia	2026-I	Fisica Aplicada	14
Ciencias	Fisica y Meteorologia	2026-I	Fisica de Calor y Procesos	18
Ciencias	Fisica y Meteorologia	2026-I	Fisica General	554
Ciencias	Fisica y Meteorologia	2026-I	Fisica II	94
Ciencias	Fisica y Meteorologia	2026-I	Fisica III	62
Ciencias	Fisica y Meteorologia	2026-I	Geologia y Geomorfologia	26
Ciencias	Fisica y Meteorologia	2026-I	Geomatica Aplicada	15
Ciencias	Fisica y Meteorologia	2026-I	Gestion de Riesgo Climatico y Desastres Hidrometeorologicos	3
Ciencias	Fisica y Meteorologia	2026-I	Hidrometeorologia	12
Ciencias	Fisica y Meteorologia	2026-I	Interaccion Oceano Atmosfera	10
Ciencias	Fisica y Meteorologia	2026-I	Introduccion a la Gestion del Riesgo Climatico	21
Ciencias	Fisica y Meteorologia	2026-I	Introduccion a la Inteligencia Artificial	79
Ciencias	Fisica y Meteorologia	2026-I	Introduccion a la Meteorologia y Gestion de Riesgos Climaticos	27
Ciencias	Fisica y Meteorologia	2026-I	Mecanica	14
Ciencias	Fisica y Meteorologia	2026-I	Meteorologia Aeronautica	21
Ciencias	Fisica y Meteorologia	2026-I	Meteorologia Dinamica	14
Ciencias	Fisica y Meteorologia	2026-I	Meteorologia Economica, Mercadotecnia y Gestion	21
Ciencias	Fisica y Meteorologia	2026-I	Meteorologia Fisica	11
Ciencias	Fisica y Meteorologia	2026-I	Meteorologia General	274
Ciencias	Fisica y Meteorologia	2026-I	Meteorologia Sinoptica I	14
Ciencias	Fisica y Meteorologia	2026-I	Meteorologia Sinoptica II	31
Ciencias	Fisica y Meteorologia	2026-I	Meteorologia Tropical	21
Ciencias	Fisica y Meteorologia	2026-I	Micrometeorologia	21
Ciencias	Fisica y Meteorologia	2026-I	Participacion y Comunicacion en Gestion de Riesgos Climaticos	11
Ciencias	Fisica y Meteorologia	2026-I	Planeamiento Territorial para la Gestion de Riesgos de Desastres	12
Ciencias	Fisica y Meteorologia	2026-I	Seminario en Ingenieria Meteorologica y Gestion de Riesgos Climaticos I	14
Ciencias	Fisica y Meteorologia	2026-I	Seminario en Ingenieria Meteorologica y Gestion de Riesgos Climaticos II	14
Ciencias	Fisica y Meteorologia	2026-I	Seminario I	6
Ciencias	Fisica y Meteorologia	2026-I	Seminario II	3
Ciencias	Fisica y Meteorologia	2026-I	Sistema de Informacion Geografica	44
Ciencias	Fisica y Meteorologia	2026-I	Sistema de Informacion Geografica para la Gestion de Riesgos	12
Ciencias	Fisica y Meteorologia	2026-I	Tecnicas de Programacion I	80
Ciencias	Fisica y Meteorologia	2026-I	Tecnicas de Programacion II	16
Ciencias	Fisica y Meteorologia	2026-I	Tecnicas de Pronostico del Tiempon y Clima	12
Ciencias	Fisica y Meteorologia	2026-I	Tecnicas Estadisticas y Analisis de Datos Climaticos	12
Ciencias	Fisica y Meteorologia	2026-I	Teoria Instrumental y Metodos de Observacion	12
Ciencias	Fisica y Meteorologia	2026-I	Termodinamica de la Atmosfera	10
Ciencias	Fisica y Meteorologia	2026-I	Topicos Especiales en Gestion de Riesgos y Desastres	16
Ciencias	Ingenieria Ambiental	2026-I	Auditoria de Sistemas Integrados de Gestion	26
Ciencias	Ingenieria Ambiental	2026-I	Biorremediacion	32
Ciencias	Ingenieria Ambiental	2026-I	Ciudades Sostenibles	41
Ciencias	Ingenieria Ambiental	2026-I	Contaminacion Atmosferica	60
Ciencias	Ingenieria Ambiental	2026-I	Contaminacion de Aguas	32
Ciencias	Ingenieria Ambiental	2026-I	Educacion Ambiental	37
Ciencias	Ingenieria Ambiental	2026-I	Evaluacion de Impacto Ambiental	38
Ciencias	Ingenieria Ambiental	2026-I	Evaluacion y Manejo de Riesgos Naturales	7
Ciencias	Ingenieria Ambiental	2026-I	Geografia Fisica	60
Ciencias	Ingenieria Ambiental	2026-I	Geomatica Aplicada I	31
Ciencias	Ingenieria Ambiental	2026-I	Gestion de Proyectos Ambientales	45
Ciencias	Ingenieria Ambiental	2026-I	Gestion de Residuos Solidos	35
Ciencias	Ingenieria Ambiental	2026-I	Gestion de Seguridad y Salud Ocupacional	18
Ciencias	Ingenieria Ambiental	2026-I	Hidrologia e Hidrogeologia Ambiental	60
Ciencias	Ingenieria Ambiental	2026-I	Ingenieria de Aguas Residuales	37
Ciencias	Ingenieria Ambiental	2026-I	Introduccion a la Geomatica	43
Ciencias	Ingenieria Ambiental	2026-I	Introduccion a la Ingenieria Ambiental	41
Ciencias	Ingenieria Ambiental	2026-I	Manejo Ambiental de Cuencas	10
Ciencias	Ingenieria Ambiental	2026-I	Mecanica de Fluidos e Hidraulica	59
Ciencias	Ingenieria Ambiental	2026-I	Microbiologia Ambiental	42
Ciencias	Ingenieria Ambiental	2026-I	Planificacion Ambiental	31
Ciencias	Ingenieria Ambiental	2026-I	Procesos Industriales	59
