ID,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,POBLACION,COB_AGUA,CONT_HD,DS_EMERG,ANIO,CORREL,FECHA_INICIO,PLAZO_DIAS,FECHA_FINAL,DESC_BREVE,DESC_DET
1,ICA,ICA,ICA,110101,181781,84,15.65,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
2,ICA,ICA,LA TINGUIÑA,110102,49896,92,3.09,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
3,ICA,ICA,LOS AQUIJES,110103,26941,88,1.87,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
4,ICA,ICA,OCUCAJE,110104,5586,74,0.51,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
5,ICA,ICA,PARCONA,110106,63168,94,5.51,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
6,ICA,ICA,SAN JOSE DE LOS MOLINOS,110109,8590,94,0.77,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
7,ICA,ICA,YAUCA DEL ROSARIO,110114,1353,18,6.41,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
8,ICA,NASCA,NASCA,110301,31716,60,3.12,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
9,ICA,PALPA,LLIPATA,110402,1850,72,2.99,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
10,ICA,PALPA,PALPA,110401,9040,87,9.23,DS 005-2017-PCM,2017,DS 005,20170125,60,20170325,Estado de Emergencia por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales,"Decreto Supremo que declara el Estado de Emergencia en distritos de la provincia de Ica, en el distrito de Nasca de la provincia de Nasca, en distritos de la provincia de Palpa, y en el distrito de Humay de la provincia de Pisco, del departamento de Ica, por desastre y muy alto riesgo a consecuencia de intensas precipitaciones pluviales"
