Facultad;Departamento;Periodo;curso;cantidad_matriculados
Agronomia;Entomologia;2025-I;Apicultura General;28
Agronomia;Entomologia;2025-I;Control Biologico;4
Agronomia;Entomologia;2025-I;Crianza y Evaluacion de Insectos;4
Agronomia;Entomologia;2025-I;Entomologia Agricola;109
Agronomia;Entomologia;2025-I;Entomologia General;131
Agronomia;Entomologia;2025-I;Principios de Control de Plagas;100
Agronomia;Fitopatologia;2025-I;Fitopatologia Agricola;119
Agronomia;Fitopatologia;2025-I;Fitopatologia General;132
Agronomia;Fitopatologia;2025-I;Fitovirologia General;9
Agronomia;Fitotecnia;2025-I;Agroecologia;86
Agronomia;Fitotecnia;2025-I;Agrotecnia;127
Agronomia;Fitotecnia;2025-I;Algodonero y Otras Fibras Vegetales;12
Agronomia;Fitotecnia;2025-I;Arroz;3
Agronomia;Fitotecnia;2025-I;Biotecnologia - Micropropagacion;55
Agronomia;Fitotecnia;2025-I;Caña de Azucar;29
Agronomia;Fitotecnia;2025-I;Cereales Menores y Granos Nativos;4
Agronomia;Fitotecnia;2025-I;Cultivos Forrajeros;13
Agronomia;Fitotecnia;2025-I;Cultivos I (Cebada, trigo, arroz, maiz, cereales andinos);52
Agronomia;Fitotecnia;2025-I;Cultivos II (Papa, camote, leguminosas);60
Agronomia;Fitotecnia;2025-I;Cultivos III (Algodon, oleaginosas, caña de azucar);67
Agronomia;Fitotecnia;2025-I;Cultivos IV (Cultivos tropicales, cultivos forrajeros);69
Agronomia;Fitotecnia;2025-I;Cultivos Tropicales;5
Agronomia;Fitotecnia;2025-I;Ecofisiologia de Cultivos;29
Agronomia;Fitotecnia;2025-I;Extension y Promocion Agraria;101
Agronomia;Fitotecnia;2025-I;Fitogenetica;83
Agronomia;Fitotecnia;2025-I;Fitomejoramiento General;77
Agronomia;Fitotecnia;2025-I;Formulacion y Evaluacion de Proyectos Agrarios;16
Agronomia;Fitotecnia;2025-I;Gestion Agricola I;73
Agronomia;Fitotecnia;2025-I;Gestion Agricola II;54
Agronomia;Fitotecnia;2025-I;Gestion Agricola III;53
Agronomia;Fitotecnia;2025-I;Introduccion a la Agronomia;170
Agronomia;Fitotecnia;2025-I;Leguminosas de Granos;19
Agronomia;Fitotecnia;2025-I;Maiz y Sorgo;8
Agronomia;Fitotecnia;2025-I;Manejo de Malezas;93
Agronomia;Fitotecnia;2025-I;Manejo de Pasturas;22
Agronomia;Fitotecnia;2025-I;Manejo y Control de Semillas;113
Agronomia;Fitotecnia;2025-I;Oleaginosas;30
Agronomia;Fitotecnia;2025-I;Practicas Agronomicas I;133
Agronomia;Fitotecnia;2025-I;Practicas Agronomicas II;103
Agronomia;Fitotecnia;2025-I;Sistemas Agrarios;16
Agronomia;Fitotecnia;2025-I;Sistematica Agricola;111
Agronomia;Fitotecnia;2025-I;Tecnologias Agricolas;55
Agronomia;Fitotecnia;2025-I;Tuberosas y Raices;12
Agronomia;Horticultura;2025-I;Certificaciones Agricolas;29
Agronomia;Horticultura;2025-I;Fisiologia y Manejo Post Cosecha;95
Agronomia;Horticultura;2025-I;Floricultura I;7
Agronomia;Horticultura;2025-I;Floricultura II;19
Agronomia;Horticultura;2025-I;Fruticultura Especial I;18
Agronomia;Horticultura;2025-I;Fruticultura Especial II;13
Agronomia;Horticultura;2025-I;Fruticultura General;114
Agronomia;Horticultura;2025-I;Manejo de Viveros;18
Agronomia;Horticultura;2025-I;Metodologia de la Investigacion;25
Agronomia;Horticultura;2025-I;Olericultura Especial;7
Agronomia;Horticultura;2025-I;Olericultura General;94
Agronomia;Horticultura;2025-I;Principios de Arquitectura Paisajista;17
Agronomia;Horticultura;2025-I;Principios de Propagacion de Plantas;102
Agronomia;Horticultura;2025-I;Seminario en Ciencias Agronomia I;82
Agronomia;Horticultura;2025-I;Seminario en Ciencias Agronomia II;61
Agronomia;Horticultura;2025-I;Viticultura;8
Agronomia;Suelos;2025-I;Analisis de Suelos y Plantas;13
